roll_deg,pitch_deg,yaw_deg
-2.33,0.26,-1.14
-2.61,0.31,-1.00
-2.84,0.33,-0.94
-3.09,0.28,-0.89
3.03,0.23,-0.85
2.96,0.17,-0.81
2.92,0.13,-0.77
2.91,0.12,-0.76
2.91,0.09,-0.76
2.91,0.09,-0.76
2.91,0.09,-0.77
2.91,0.08,-0.77
2.91,0.08,-0.77
2.91,0.08,-0.77
2.91,0.08,-0.77
2.91,0.08,-0.77
2.91,0.08,-0.77
2.91,0.08,-0.77
2.91,0.08,-0.77
2.91,0.08,-0.77
2.91,0.08,-0.77
2.91,0.08,-0.77
2.91,0.08,-0.77
2.91,0.08,-0.77
2.91,0.08,-0.77
2.91,0.08,-0.77
2.91,0.08,-0.77
2.91,0.08,-0.77
2.92,0.08,-0.79
-3.12,0.06,-1.34
-3.09,0.06,-1.41
-3.09,0.06,-1.41
-2.81,0.17,-1.29
-2.80,0.18,-1.28
-2.55,0.23,-1.20
-2.55,0.23,-1.20
-2.33,0.21,-1.18
-2.24,0.19,-1.20
